No,Sensor,Date,Time,Light,Temperature,Humidity
1,S1,01-06-2023,00:00:00,81,30,45
2,S3,01-06-2023,00:00:05,36,26,95
3,S2,01-06-2023,00:00:10,54,21,70
4,S2,01-06-2023,00:00:15,42,39,50
5,S3,01-06-2023,00:00:20,49,42,85
6,S3,01-06-2023,00:00:25,70,38,73
7,S3,01-06-2023,00:00:30,32,44,68
8,S2,01-06-2023,00:00:35,90,43,89
9,S3,01-06-2023,00:00:40,33,22,88
10,S3,01-06-2023,00:00:45,33,26,50
11,S2,01-06-2023,00:00:50,50,42,88
12,S1,01-06-2023,00:00:55,89,40,76
13,S3,01-06-2023,00:01:00,61,32,82
14,S1,01-06-2023,00:01:05,77,38,59
15,S3,01-06-2023,00:01:10,93,44,52
16,S2,01-06-2023,00:01:15,74,30,45
17,S3,01-06-2023,00:01:20,97,30,42
18,S1,01-06-2023,00:01:25,39,20,41
19,S3,01-06-2023,00:01:30,41,29,98
20,S3,01-06-2023,00:01:35,92,38,65
21,S1,01-06-2023,00:01:40,61,33,64
22,S3,01-06-2023,00:01:45,71,20,84
23,S2,01-06-2023,00:01:50,35,21,74
24,S3,01-06-2023,00:01:55,89,22,56
25,S2,01-06-2023,00:02:00,95,31,67
